"ID_st","Eligible","Exclude_reason","ID_P","ID_subgroup","ID_iv","ID_dv","ID_report","ID_Wave","Authors","AUTHO0","AUTHO1","Pub_Year","Title","Journal","Doi","Pub_type","Design","Waves","Age_measure","Age_m_iv","Age_sd_iv","Age_m_dv","Age_sd_dv","male","N","N_m","N_f","SES","SES0","Country","P_Instrument","P_INS0","P_OBS","P_PR","P_SPR","P_CR","P_MIX","P_Inv","P_pos","P_Neg","P_Inc","P_War","P_Acc","P_Sen","P_Sup","P_Mon_poor","P_Mon","P_dir","P_Dem","P_Aut","P_prot","P_Con","P_Str_Con","P_B_Con","P_P_Con","P_Pun","P_Dis_indu","P_Dis","P_C_Dis","P_I_Dis","P_Hos","P_cor_pun","P_har","P_Rej","PB_instrument","PB_OBS","PB_PR","PB_PR_WHOM","PB_CR","PB_TR","PB_FR","PB_MIX","PB_PB","PB_toM","PB_toF","PB_toFR","PB_toFAM","PB_toSTR","PB_Alt","PB_Emp","PB_Sym","PB_com","PB_coop","PB_sha","M_IV","M_IV_SD","M_DV","M_DV_SD","R","R_m_f","B","ID_Copy","Eligible_copy","Lableparenting_copy","P_W","P_S","P_P","P_C","P_I","P_H","P_po","P_ne","ID","p_negative","id_merge","R_f"
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to m                                                                                             ","CR                                                                                                  ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Ja","Nee",NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",2.2,0.84,5.03,1.13,0.17,0.71,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtom_CR_2-3_36",0.13
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to f                                                                                             ","CR                                                                                                  ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Ja","Nee",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",2.2,0.84,5.1,1.14,0.17,0.71,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtof_CR_2-3_36",0.17
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to str                                                                                           ","O                                                                                                   ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee",1.21,0.49,3.12,0.74,0.15,0.07,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtostr_O_2-3_36",0.08
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to fr                                                                                            ","O                                                                                                   ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",1.21,0.49,4.26,0.66,0.1,0.07,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtofr_O_2-3_36",0.04
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to fam                                                                                           ","O                                                                                                   ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",1.21,0.49,3.98,0.81,0.03,0.07,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtofam_O_2-3_36",0.08
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to m                                                                                             ","O                                                                                                   ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Ja","Nee",NA,"Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",1.21,0.49,5.03,1.13,0.16,0.07,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtom_O_2-3_36",0.12
36,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","Hostility                                                                                           ","PB to f                                                                                             ","O                                                                                                   ","2-3                                                                                                 ","Padilla-Walker, Nielson, & Day                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2016,"The role of parental warmth and hostility on adolescents' prosocial behavior toward multiple targets.                                                                                                                                                          ","Journal of Family Psychology                                                                                                                                                                                                                                   ","10.1037/fam0000157                                                                                                                                                                                                                                             ","journal article","longitudinal",2,"Years",12.34,1.06,13.32,NA,48,500,NA,NA,"999                                                                                                                                                                                                                                                            ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire-short (PSDQ) and coding dyadic interaction scales.                                                                                                                                                               ","                                                ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","kindness and generosity subscale of the Values in Action Inventory of Strenghts and observed prosocial behavior toward mother and toward father.                                               ","Ja","Nee",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",1.21,0.49,5.1,1.14,0.03,0.07,NA,36,"yes","Hostility                                                                                           ","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee",36,TRUE,"36__Hostility_PBtof_O_2-3_36",0.1
38,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","warmth                                                                                              ","PB to fam                                                                                           ","CR1-CR1                                                                                             ","1 op 1                                                                                              ","Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ","Journal of Social and Personal Relationships                                                                                                                                                                                                                   ","10.1177/0265407518773900                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",13.32,NA,13.32,NA,48,463,NA,NA,"Average income                                                                                                                                                                                                                                                 ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire Short version (PSDQ) (Robinson, Mandleco, Olsen, & Hart, 2001)                                                                                                                                                   ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.3,0.51,4,0.81,0.17,NA,NA,38,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",36,FALSE,"38__warmth_PBtofam_CR1-CR1_1op1_38",0.16
38,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","warmth                                                                                              ","PB to fam                                                                                           ","CR1-CR3                                                                                             ","1 op 3                                                                                              ","Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ","Journal of Social and Personal Relationships                                                                                                                                                                                                                   ","10.1177/0265407518773900                                                                                                                                                                                                                                       ","journal article","longitudinal",2,"Years",13.32,NA,13.32,NA,48,463,NA,NA,"Average income                                                                                                                                                                                                                                                 ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire Short version (PSDQ) (Robinson, Mandleco, Olsen, & Hart, 2001)                                                                                                                                                   ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.3,0.51,4,0.77,0.15,NA,NA,38,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",36,FALSE,"38__warmth_PBtofam_CR1-CR3_1op3_38",0.13
38,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","warmth                                                                                              ","PB to fam                                                                                           ","CR2-CR3                                                                                             ","2 op 3                                                                                              ","Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ","Journal of Social and Personal Relationships                                                                                                                                                                                                                   ","10.1177/0265407518773900                                                                                                                                                                                                                                       ","journal article","longitudinal",2,"Years",15.29,NA,17.28,NA,48,463,NA,NA,"Average income                                                                                                                                                                                                                                                 ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire Short version (PSDQ) (Robinson, Mandleco, Olsen, & Hart, 2001)                                                                                                                                                   ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ","Nee","Nee",NA,"Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.2,0.54,4,0.77,0.22,NA,NA,38,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",36,FALSE,"38__warmth_PBtofam_CR2-CR3_2op3_38",0.14
38,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","warmth                                                                                              ","PB to fam                                                                                           ","CR1-PR1                                                                                             ","1 op 1                                                                                              ","Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ","Journal of Social and Personal Relationships                                                                                                                                                                                                                   ","10.1177/0265407518773900                                                                                                                                                                                                                                       ","journal article","cross",1,"Years",13.32,NA,13.32,NA,48,463,NA,NA,"Average income                                                                                                                                                                                                                                                 ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire Short version (PSDQ) (Robinson, Mandleco, Olsen, & Hart, 2001)                                                                                                                                                   ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ","Nee","Ja",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.3,0.51,3.6,0.83,0.38,NA,NA,38,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",36,FALSE,"38__warmth_PBtofam_CR1-PR1_1op1_38",0.45
38,"yes","Overlap sample 36 - 38 - 39                                                                                                                                                                                                                                    ","mother","                                                                                                    ","warmth                                                                                              ","PB to fam                                                                                           ","CR1-PR3                                                                                             ","1 op 3                                                                                              ","Padilla-Walker, L. M., & Son, D.                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ",2018,"Longitudinal associations among routine disclosure, the parent–child relationship, and adolescents’ prosocial and delinquent behaviors                                                                                                                     ","Journal of Social and Personal Relationships                                                                                                                                                                                                                   ","10.1177/0265407518773900                                                                                                                                                                                                                                       ","journal article","longitudinal",2,"Years",13.32,NA,13.32,NA,48,463,NA,NA,"Average income                                                                                                                                                                                                                                                 ","                                                ","US                                                                                                                                                                                                                                                             ","Parenting Styles and Dimensions Questionnaire Short version (PSDQ) (Robinson, Mandleco, Olsen, & Hart, 2001)                                                                                                                                                   ","                                                ","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee",NA,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ","Nee","Ja",NA,"Nee","Nee","Nee","Nee","Nee","Nee","Nee","Nee","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",4.3,0.51,3.5,0.91,0.3,NA,NA,38,"yes","warmth                                                                                              ","Ja","Nee","Nee","Nee","Nee","Nee","Nee","Nee",36,FALSE,"38__warmth_PBtofam_CR1-PR3_1op3_38",0.34
